CountingMachine,date/time,latitude,longitude,elevation
1,2022-04-20 06:21:13.250831,-51.40045987760681,-120.5249026355177,435.9508692565663
2,2022-04-20 06:21:16.943459,-51.07516058252218,-117.33862167498643,435.7262203562481
3,2022-04-20 06:21:50.080926,-50.65202044450118,-114.17222384286,435.4588720900954
4,2022-04-20 06:22:22.937900,-50.142363335840386,-111.10004573557003,435.15500788567573
5,2022-04-20 06:22:55.831653,-49.54425870353635,-108.09252436530033,434.8123158161665
6,2022-04-20 06:23:29.009232,-48.8573194694557,-105.14370430890169,434.4297705870398
7,2022-04-20 06:24:01.860064,-48.09781646044631,-102.31001563277678,434.0154936069029
8,2022-04-20 06:24:34.687833,-47.26416135005317,-99.56766723405262,433.56770160393796
9,2022-04-20 06:25:07.881619,-46.350069377197705,-96.88911602234305,433.0824471728023
10,2022-04-20 06:25:41.085209,-45.36845104304711,-94.30512731782501,432.5661623351227
11,2022-04-20 06:26:14.248100,-44.32531328780983,-91.81921384985668,432.0216771930311
12,2022-04-20 06:26:47.057007,-43.23584543351391,-89.45185348723244,431.45673171407515
13,2022-04-20 06:27:19.918100,-42.0913831595847,-87.17029849841569,430.8668693271009
14,2022-04-20 06:27:53.120632,-40.88482037001191,-84.953224083444,430.24878407590467
15,2022-04-20 06:28:25.988789,-39.64438835488495,-82.84244088895976,429.61743398425875
16,2022-04-20 06:28:58.840304,-38.36229133056395,-80.81251611989997,428.9694749270663
17,2022-04-20 06:29:31.679058,-37.04167041285698,-78.85919513910004,428.30735525204597
18,2022-04-20 06:30:04.881517,-35.66985891686359,-76.95718944828957,427.6258645882242
19,2022-04-20 06:30:37.744117,-34.27872795822933,-75.1427059294084,426.94204591427086
20,2022-04-20 06:31:10.558620,-32.85918002871888,-73.39433626528971,426.25263423870825
21,2022-04-20 06:31:43.402440,-31.410331890952627,-71.70381902840391,425.55864130032313
22,2022-04-20 06:32:16.613800,-29.91954826148877,-70.05126299923882,424.855762542138
23,2022-04-20 06:32:49.459771,-28.42050478123568,-68.46774944932811,424.16152840632407
24,2022-04-20 06:33:22.607962,-26.886209221942075,-66.91860987109686,423.4651373888808
25,2022-04-20 06:33:55.420929,-25.347592825787846,-65.42941997403548,422.78234859001515
26,2022-04-20 06:34:28.281888,-23.788676424950598,-63.978714485044456,422.10763594115275
27,2022-04-20 06:35:01.138883,-22.213491296057747,-62.56551259938208,421.4445462750681
28,2022-04-20 06:35:34.288736,-20.609125664465456,-61.17427522319921,420.7896744122507
29,2022-04-20 06:36:07.440852,-18.990907169880227,-59.81451347259908,420.1513176775236
30,2022-04-20 06:36:40.304493,-17.37454887203928,-58.49474600992996,419.53709135250534
31,2022-04-20 06:37:13.504715,-15.730575075363072,-57.18702663239864,418.9375035964379
32,2022-04-20 06:37:46.320020,-14.095948277213877,-55.91696740768393,418.3675372578795
33,2022-04-20 06:38:19.516709,-12.433672507081017,-54.65221411080433,417.81577718375826
34,2022-04-20 06:38:52.386947,-10.780258403031956,-53.4171963079014,417.29578011744314
35,2022-04-20 06:39:25.240994,-9.121302156693991,-52.19752336003686,416.8038176356623
36,2022-04-20 06:39:58.377398,-7.442663252098237,-50.97982792540731,416.33719794998296
37,2022-04-20 06:40:31.519768,-5.759609957649185,-49.77225444827309,415.90157711314754
38,2022-04-20 06:41:04.706624,-4.070234975010928,-48.570380490988185,415.4974207633295
39,2022-04-20 06:41:37.527711,-2.3973580831770573,-47.38732027313336,415.1304328524795
40,2022-04-20 06:42:10.386072,-0.7211067962086894,-46.20599352177578,414.7963050789837
41,2022-04-20 06:42:43.246499,0.955809956324529,-45.02542698581257,414.49604015150777
42,2022-04-20 06:43:16.065552,2.6302300961119314,-43.844965426814035,414.2303889159516
43,2022-04-20 06:43:48.929836,4.305646906171213,-42.65925190043163,413.9988910985979
44,2022-04-20 06:44:21.799048,5.97906330951239,-41.46747408173216,413.8019696480503
45,2022-04-20 06:44:54.647394,7.648209703329546,-40.268290474289756,413.6396399792242
46,2022-04-20 06:45:27.481917,9.311042609600266,-39.06018627355,413.5116223122002
47,2022-04-20 06:46:00.265949,10.969003665969925,-37.8390516928302,413.41721913572866
48,2022-04-20 06:46:33.126357,12.62319348902383,-36.60085071688218,413.35577230588916
49,2022-04-20 06:47:05.942755,14.267895244874143,-35.34656846409713,413.32668307055206
50,2022-04-20 06:47:38.761078,15.90344614068629,-34.072597740225916,413.32890857263953
51,2022-04-20 06:48:11.559057,17.529373006906884,-32.775770837380676,413.3613497580713
52,2022-04-20 06:48:44.339957,19.144479151483143,-31.45332256525427,413.42278914945246
53,2022-04-20 06:49:17.529161,20.76663423614325,-30.086002833944416,413.5131104264881
54,2022-04-20 06:49:50.347119,22.357161308970046,-28.702202804754634,413.6287823108628
55,2022-04-20 06:50:23.530332,23.950276082170674,-27.26768641286566,413.7707751097881
56,2022-04-20 06:50:56.366115,25.510077824238802,-25.810063502911515,413.934346968145
57,2022-04-20 06:51:29.186503,27.051313366077125,-24.311488979952863,414.119029234815
58,2022-04-20 06:52:02.284580,28.585351237510906,-22.75487140578858,414.32479818338504
59,2022-04-20 06:52:35.107127,30.084902874084108,-21.16227234181977,414.546314159848
60,2022-04-20 06:53:08.301872,31.577250328612468,-19.498293302928854,414.7859814456262
61,2022-04-20 06:53:41.128356,33.02695194790213,-17.796019012685395,415.03642244250426
62,2022-04-20 06:54:13.947114,34.448027337951984,-16.033672693127123,415.29809633492573
63,2022-04-20 06:54:46.769425,35.838211000765476,-14.206870279862907,415.56896961813794
64,2022-04-20 06:55:19.982212,37.21132160279633,-12.287638595766387,415.85042713100586
65,2022-04-20 06:55:52.834252,38.53257705876216,-10.316098328198521,416.1338654702617
66,2022-04-20 06:56:25.654035,39.81298203783991,-8.269401052376425,416.4200134750924
67,2022-04-20 06:56:58.492909,41.05124115467528,-6.140459971188436,416.70728797962266
68,2022-04-20 06:57:32.128923,42.27138895269625,-3.8719420636262414,417.0004552503088
69,2022-04-20 06:58:05.338916,43.42435402684063,-1.5414673864401216,417.2868211934929
70,2022-04-20 06:58:38.159505,44.50930161515342,0.853036102909282,417.5649165485655
71,2022-04-20 06:59:10.951603,45.5350654382981,3.3381943355289825,417.8360951019736
72,2022-04-20 06:59:43.749535,46.49853435390506,5.9177044964869205,418.0989472538726
73,2022-04-20 07:00:16.568591,47.395718567570945,8.592992952160746,418.3519754577982
74,2022-04-20 07:00:49.385967,48.22151176441387,11.36109449847651,418.5934850997276
75,2022-04-20 07:01:22.184737,48.971166679053646,14.217897785400739,418.8219694172272
76,2022-04-20 07:01:55.020941,49.6415874197979,17.164083525993863,419.03652738462137
77,2022-04-20 07:02:28.220486,50.23375561048146,20.224343053142146,419.2378516363426
78,2022-04-20 07:03:01.002870,50.73010899906076,23.318666465530683,419.42022056368717
79,2022-04-20 07:03:33.766782,51.13501450123749,26.473602481798032,419.5852954625761
80,2022-04-20 07:04:06.574056,51.44621904651933,29.683893693093918,419.7326300111951
81,2022-04-20 07:04:39.377083,51.66079226038262,32.9323473676431,419.8613895452282
82,2022-04-20 07:05:12.175896,51.77712270492455,36.20496449865815,419.9711316126446
83,2022-04-20 07:05:45.355022,51.793985105602715,39.52348361644569,420.062462914829
84,2022-04-20 07:06:18.139244,51.710862915421764,42.80162366075058,420.1332739124942
85,2022-04-20 07:06:50.922347,51.52941588818124,46.055771285969506,420.18459635484487
86,2022-04-20 07:07:24.098998,51.24696263495598,49.315498638964826,420.2169683774813
87,2022-04-20 07:07:56.857529,50.87229244014494,52.489711337127595,420.2299127554975
88,2022-04-20 07:08:29.637002,50.40554461794789,55.6041244084376,420.22438017971365
89,2022-04-20 07:09:02.422867,49.85020605656047,58.64787839159984,420.20099234756793
90,2022-04-20 07:09:35.284332,49.207036477539205,61.62584876561432,420.160295070107
91,2022-04-20 07:10:08.499802,48.474591735477944,64.54721678811818,420.1025890528641
92,2022-04-20 07:10:41.718326,47.66313025980287,67.37747724536597,420.0292296275076
93,2022-04-20 07:11:14.925815,46.77757017621704,70.11222275647417,419.941428863848
94,2022-04-20 07:11:47.755236,45.83348937032482,72.7212722995345,419.8416799787471
95,2022-04-20 07:12:20.917133,44.81583610935362,75.2592712936027,419.7293273417978
96,2022-04-20 07:12:53.706792,43.748461134031274,77.67862562921187,419.60800180039325
97,2022-04-20 07:13:26.454744,42.62812941272847,80.00199162124687,419.4784723201581
